Mnemonic,Name,Old ID,Active,Type,Category
LEKCLI,Lekganyane Clinic,,Y,O,Local
PMANTNW,PM Ante-Natal Ward,,Y,I,Local
PMFMEDW,PM Female Medical Ward,,Y,I,Local
PMFORTW,PM Female Orthopaedic Ward,,Y,I,Local
PMFSURW,PM Female Surgical Ward,,Y,I,Local
PMGICUW,PM Intensive Care Unit Ward,,Y,I,Local
PMGYNEW,PM Gynaecology Ward,,Y,I,Local
PMLABOW,PM Labour Ward,,Y,I,Local
PMMMEDW,PM Male Medical Ward,,Y,I,Local
PMMORTW,PM Male Orthopaedic Ward,,Y,I,Local
PMMSURW,PM Male Surgical Ward,,Y,I,Local
PMONCW,PM Oncology Ward,,Y,I,Local
PMOPHTW,PM Ophthalmology Ward,,Y,I,Local
PMPAEMW,PM Paeds Medical Ward,,Y,I,Local
PMPAESW,PM Paeds Surgical Ward,,Y,I,Local
PMPOSNW,PM Post-Natal Ward,,Y,I,Local
PMPRIVW,PM Private Ward,,Y,I,Local
PMCONC,PM Oncology Clinic,,Y,O,Local
PMPIDCCC,PM Paeds IDCC Clinic,,Y,O,Local
XBANATR,Bana Trial,GA,Y,O,Remote
XKHIHP,khisa Health Post,,Y,O,Remote
XBAMALH,Bamalete Lutheren Hos,17-1-01,Y,O,Remote
XGBOTUS,Botusa,GA,Y,O,Remote
XNHL,National Health Laboratory,,Y,O,Remote
XIHS,Institute of Health Sciences,,Y,O,Remote
XSEBELE,Sebele Clinic,GA,Y,O,Remote
XLESIRC,Lesirane Clinic,05-3-22,Y,O,Remote
XPOLICE,Police College,GA,Y,O,Remote
XKAATEL,Kgatelopele,GA,N,O,Remote
XONALED,Old Naledi,GA,Y,O,Remote
XTLOKMC,Tlokweng Main Clinic,17-3-07,Y,O,Remote
XTLOKWE,Tlokweng,GA,Y,O,Remote
XMAFITC,Mafitlhakgosi Clinic,17-3-10,Y,O,Remote
XKHAYAHP,Khayakholo Health Post,17-4-01,Y,O,Remote
XNKAIKHP,Nkaikela Health Post,17-4-05,Y,O,Remote
XNKAIKE,Nkaikela,GA,N,O,Remote
XKHAYAK,Khayakholo,17-4-01,Y,O,Remote
XSBRANA,Sbrana Psychiatric Hospital,,Y,O,Remote
XMOGODI,Mogoditshane Clinic,05-3-12,Y,O,Remote
XNKOYAC,Nkoyaphiri Clinic,05-3-16,Y,O,Remote
XNKOYAP,Nkoyaphiri Clinic,05-3-16,N,O,Remote
XTSHOLC,Tsholofelo Clinic,15-3-10,Y,O,Remote
XMMOPAN,Mmopane Health Post,05-4-12,Y,O,Remote
XBDFTHE,BDF Thebephatshwa,PM,Y,O,Remote
XKOPON,Kopong Clinic,05-3-06,Y,O,Remote
XMETSIM,Metsimotlhabe Clinic,05-3-09,Y,O,Remote
XGABAN,Gabane Clinic,05-3-04,Y,O,Remote
XPRISON,Prisons,GA,Y,O,Remote
XGABWES,Gaborone West,GA,Y,O,Remote
XUNBOTS,University of Botswana,GA,Y,O,Remote
XBFWASS,Bot Family Welfare Assoc,GA,Y,O,Remote
XSTDCLI,STD Clinic,GA,Y,O,Remote
XVILLAG,Village Clinic,GA,Y,O,Remote
XBTACLI,BTA,GA,Y,O,Remote
XGPRIVAT,LAB Private Patient OPD,GA,Y,O,Remote
XSTJOSE,St Josephs,GA,Y,O,Remote
XHEACEN,Health Centre,GA,Y,O,Remote
XTBLOC,TB Location,GA,Y,O,Remote
XGUMAPH,Gumare Primary Hosp,14-2-01,Y,O,Remote
XSERONG,Seronga Clinic,14-3-02,Y,O,Remote
XXAKSHA,Xakau Shakawe,PM,Y,O,Remote
XNOKANE,Nokaneng Clinic,14-3-04,Y,O,Remote
XXAKAOC,Xakao Clinic,14-3-06,Y,O,Remote
XGUMAC,Gumare Clinic,14-3-07,Y,O,Remote
XQANGC,Qangwa Clinic,14-3-05,Y,O,Remote
XSEPOC,Sepopa Clinic,14-3-09,Y,O,Remote
XBEETHP,Beetsha Health Post,14-4-10,Y,O,Remote
XGUNUTHP,Gunutsoga Health Post,14-4-03,Y,O,Remote
XKAUXHP,Kauxwi Health Post,14-4-04,Y,O,Remote
XMOGOTHP,Mogotho Health Post,14-4-05,Y,O,Remote
XHABUHP,Habu Health Post,14-4-06,Y,O,Remote
XNXAUNHP,Nxaunxau Health Post,14-4-07,Y,O,Remote
XNXOMHP,Nxomokao Health Post,14-4-08,Y,O,Remote
XNGARHP,Ngarange Health Post,14-4-12,Y,O,Remote
XNXAMHP,Nxamasere Health Post,14-4-14,Y,O,Remote
XKAJAJHP,Kajaja Health Post,,Y,O,Remote
XIKOGAHP,Ikoga Health Post,14-4-15,Y,O,Remote
XXAXAHP,Xaxa Health Post,14-4-16,Y,O,Remote
XGHANHP,Ghani Health Post,14-4-18,Y,O,Remote
XGUDIHP,Gudigwa Health Post,14-4-19,Y,O,Remote
XSHAKWC,Shakawe Clinic,14-3-03,Y,O,Remote
XNYARAHP,NGARANGE HEALTH POST,,N,O,Remote
XHUKUPH,Hukuntsi Primary Hosp,24-2-01,Y,O,Remote
XKANG,Kang Clinic,24-3-02,Y,O,Remote
XHUKUNT,Hukuntsi Clinic,24-3-01,Y,O,Remote
XMAKEHP,Make Health Post,24-4-05,Y,O,Remote
XNCAAHP,Ncaang Health Post,24-4-01,Y,O,Remote
XINALEHP,Inalegolo Health Post,24-4-02,Y,O,Remote
XLEHUTHP,Lehututu Health Post,24-4-03,Y,O,Remote
XLOKGWHP,Lokgwabe Health Post,24-4-04,Y,O,Remote
XHUNHC,Hunhukwe Clinic,,Y,O,Remote
XMONOHP,Monong Health Post,24-4-06,Y,O,Remote
XTSHANEHP,Tshane Health Post,24-4-07,Y,O,Remote
XTSHAPHP,Tshane Prison Health Post,24-4,Y,O,Remote
XPHUDHP,Phuduhudu Health Post,24-4-08,Y,O,Remote
XUKHWHP,Ukhwi Health Post,24-4-09,Y,O,Remote
XHUKUHP,Hukuntsi West H Post,24-4-11,Y,O,Remote
XMOSELHP,Moselebe Health Post,24-4-,Y,O,Remote
XNGWATHP,Ngwatle Health Post,24-4-13,Y,O,Remote
XGOODPH,Goodhope Primary Hosp,23-2-01,Y,O,Remote
XDIGAWC,Digawana Clinic,23-3-01,Y,O,Remote
XKANGWHP,Kangwe H Post,,Y,O,Remote
XPHIMOL,Phitshane Molopo Clinic,23-3-6,Y,O,Remote
XPITSAN,Pitsane Clinic,23-3-07,Y,O,Remote
XMMATHE,Mmathethe Clinic,23-3-05,Y,O,Remote
XMABULE,Mabule Clinic,23-3-03,Y,O,Remote
XHEBRON,Hebron Clinic,23-3-02,Y,O,Remote
XMETLOC,Metlobo Clinic,23-3-04,Y,O,Remote
XGOODHP,Goodhope Clinic,,Y,O,Remote
XRAMAC,Ramatlabama Clinic,23-3-08,Y,O,Remote
XTSHIDIC,Tshidilamolomo Clinic,23-3-09,Y,O,Remote
XCWAANHP,Cwaanyaneng H Post,,Y,O,Remote
XDIKHUKHP,Dikhukhung H post,,Y,O,Remote
XDITLHHP,Ditlharapa Health Post,23-4-04,Y,O,Remote
XGATHWHP,Gathwane Health Post,23-4-05,Y,O,Remote
XLEPORHP,Leporung H post,,Y,O,Remote
XLOROLHP,Lorolwane H Post,,Y,O,Remote
