Mnemonic,Name,Old ID,Active,Type,Category,MFLCode
LEKCLI,Lekganyane Clinic,,Y,O,Local,6675b20178fc5428625b33df
PMANTNW,PM Ante-Natal Ward,,Y,I,Local,6675b20178fc5428625b33e0
PMFMEDW,PM Female Medical Ward,,Y,I,Local,6675b20178fc5428625b33e1
PMFORTW,PM Female Orthopaedic Ward,,Y,I,Local,6675b20178fc5428625b33e2
PMFSURW,PM Female Surgical Ward,,Y,I,Local,6675b20178fc5428625b33e3
PMGICUW,PM Intensive Care Unit Ward,,Y,I,Local,6675b20178fc5428625b33e4
PMGYNEW,PM Gynaecology Ward,,Y,I,Local,6675b20178fc5428625b33e5
PMLABOW,PM Labour Ward,,Y,I,Local,6675b20178fc5428625b33e6
PMMMEDW,PM Male Medical Ward,,Y,I,Local,6675b20178fc5428625b33e7
PMMORTW,PM Male Orthopaedic Ward,,Y,I,Local,6675b20178fc5428625b33e8
PMMSURW,PM Male Surgical Ward,,Y,I,Local,6675b20178fc5428625b33e9
PMONCW,PM Oncology Ward,,Y,I,Local,6675b20178fc5428625b33ea
PMOPHTW,PM Ophthalmology Ward,,Y,I,Local,6675b20178fc5428625b33eb
PMPAEMW,PM Paeds Medical Ward,,Y,I,Local,6675b20178fc5428625b33ec
PMPAESW,PM Paeds Surgical Ward,,Y,I,Local,6675b20178fc5428625b33ed
PMPOSNW,PM Post-Natal Ward,,Y,I,Local,6675b20178fc5428625b33ee
PMPRIVW,PM Private Ward,,Y,I,Local,6675b20178fc5428625b33ef
PMCONC,PM Oncology Clinic,,Y,O,Local,6675b20178fc5428625b33f0
PMPIDCCC,PM Paeds IDCC Clinic,,Y,O,Local,6675b20178fc5428625b33f1
XBANATR,Bana Trial,GA,Y,O,Remote,6675b20178fc5428625b33f2
XKHIHP,khisa Health Post,,Y,O,Remote,6675b20178fc5428625b33f3
XBAMALH,Bamalete Lutheren Hos,17-1-01,Y,O,Remote,6675b20178fc5428625b33f4
XGBOTUS,Botusa,GA,Y,O,Remote,6675b20178fc5428625b33f5
XNHL,National Health Laboratory,,Y,O,Remote,6675b20178fc5428625b33f6
XIHS,Institute of Health Sciences,,Y,O,Remote,6675b20178fc5428625b33f7
XSEBELE,Sebele Clinic,GA,Y,O,Remote,6675b20178fc5428625b33f8
XLESIRC,Lesirane Clinic,05-3-22,Y,O,Remote,6675b20178fc5428625b33f9
XPOLICE,Police College,GA,Y,O,Remote,6675b20178fc5428625b33fa
XKAATEL,Kgatelopele,GA,N,O,Remote,6675b20178fc5428625b33fb
XONALED,Old Naledi,GA,Y,O,Remote,6675b20178fc5428625b33fc
XTLOKMC,Tlokweng Main Clinic,17-3-07,Y,O,Remote,6675b20178fc5428625b33fd
XTLOKWE,Tlokweng,GA,Y,O,Remote,6675b20178fc5428625b33fe
XMAFITC,Mafitlhakgosi Clinic,17-3-10,Y,O,Remote,6675b20178fc5428625b33ff
XKHAYAHP,Khayakholo Health Post,17-4-01,Y,O,Remote,6675b20178fc5428625b3400
XNKAIKHP,Nkaikela Health Post,17-4-05,Y,O,Remote,6675b20178fc5428625b3401
XNKAIKE,Nkaikela,GA,N,O,Remote,6675b20178fc5428625b3402
XKHAYAK,Khayakholo,17-4-01,Y,O,Remote,6675b20178fc5428625b3403
XSBRANA,Sbrana Psychiatric Hospital,,Y,O,Remote,6675b20178fc5428625b3404
XMOGODI,Mogoditshane Clinic,05-3-12,Y,O,Remote,6675b20178fc5428625b3405
XNKOYAC,Nkoyaphiri Clinic,05-3-16,Y,O,Remote,6675b20178fc5428625b3406
XNKOYAP,Nkoyaphiri Clinic,05-3-16,N,O,Remote,6675b20178fc5428625b3407
XTSHOLC,Tsholofelo Clinic,15-3-10,Y,O,Remote,6675b20178fc5428625b3408
XMMOPAN,Mmopane Health Post,05-4-12,Y,O,Remote,6675b20178fc5428625b3409
XBDFTHE,BDF Thebephatshwa,PM,Y,O,Remote,6675b20178fc5428625b340a
XKOPON,Kopong Clinic,05-3-06,Y,O,Remote,6675b20178fc5428625b340b
XMETSIM,Metsimotlhabe Clinic,05-3-09,Y,O,Remote,6675b20178fc5428625b340c
XGABAN,Gabane Clinic,05-3-04,Y,O,Remote,6675b20178fc5428625b340d
XPRISON,Prisons,GA,Y,O,Remote,6675b20178fc5428625b340e
XGABWES,Gaborone West,GA,Y,O,Remote,6675b20178fc5428625b340f
XUNBOTS,University of Botswana,GA,Y,O,Remote,6675b20178fc5428625b3410
XBFWASS,Bot Family Welfare Assoc,GA,Y,O,Remote,6675b20178fc5428625b3411
XSTDCLI,STD Clinic,GA,Y,O,Remote,6675b20178fc5428625b3412
XVILLAG,Village Clinic,GA,Y,O,Remote,6675b20178fc5428625b3413
XBTACLI,BTA,GA,Y,O,Remote,6675b20178fc5428625b3414
XGPRIVAT,LAB Private Patient OPD,GA,Y,O,Remote,6675b20178fc5428625b3415
XSTJOSE,St Josephs,GA,Y,O,Remote,6675b20178fc5428625b3416
XHEACEN,Health Centre,GA,Y,O,Remote,6675b20178fc5428625b3417
XTBLOC,TB Location,GA,Y,O,Remote,6675b20178fc5428625b3418
XGUMAPH,Gumare Primary Hosp,14-2-01,Y,O,Remote,6675b20178fc5428625b3419
XSERONG,Seronga Clinic,14-3-02,Y,O,Remote,6675b20178fc5428625b341a
XXAKSHA,Xakau Shakawe,PM,Y,O,Remote,6675b20178fc5428625b341b
XNOKANE,Nokaneng Clinic,14-3-04,Y,O,Remote,6675b20178fc5428625b341c
XXAKAOC,Xakao Clinic,14-3-06,Y,O,Remote,6675b20178fc5428625b341d
XGUMAC,Gumare Clinic,14-3-07,Y,O,Remote,6675b20178fc5428625b341e
XQANGC,Qangwa Clinic,14-3-05,Y,O,Remote,6675b20178fc5428625b341f
XSEPOC,Sepopa Clinic,14-3-09,Y,O,Remote,6675b20178fc5428625b3420
XBEETHP,Beetsha Health Post,14-4-10,Y,O,Remote,6675b20178fc5428625b3421
XGUNUTHP,Gunutsoga Health Post,14-4-03,Y,O,Remote,6675b20178fc5428625b3422
XKAUXHP,Kauxwi Health Post,14-4-04,Y,O,Remote,6675b20178fc5428625b3423
XMOGOTHP,Mogotho Health Post,14-4-05,Y,O,Remote,6675b20178fc5428625b3424
XHABUHP,Habu Health Post,14-4-06,Y,O,Remote,6675b20178fc5428625b3425
XNXAUNHP,Nxaunxau Health Post,14-4-07,Y,O,Remote,6675b20178fc5428625b3426
XNXOMHP,Nxomokao Health Post,14-4-08,Y,O,Remote,6675b20178fc5428625b3427
XNGARHP,Ngarange Health Post,14-4-12,Y,O,Remote,6675b20178fc5428625b3428
XNXAMHP,Nxamasere Health Post,14-4-14,Y,O,Remote,6675b20178fc5428625b3429
XKAJAJHP,Kajaja Health Post,,Y,O,Remote,6675b20178fc5428625b342a
XIKOGAHP,Ikoga Health Post,14-4-15,Y,O,Remote,6675b20178fc5428625b342b
XXAXAHP,Xaxa Health Post,14-4-16,Y,O,Remote,6675b20178fc5428625b342c
XGHANHP,Ghani Health Post,14-4-18,Y,O,Remote,6675b20178fc5428625b342d
XGUDIHP,Gudigwa Health Post,14-4-19,Y,O,Remote,6675b20178fc5428625b342e
XSHAKWC,Shakawe Clinic,14-3-03,Y,O,Remote,6675b20178fc5428625b342f
XNYARAHP,NGARANGE HEALTH POST,,N,O,Remote,6675b20178fc5428625b3430
XHUKUPH,Hukuntsi Primary Hosp,24-2-01,Y,O,Remote,6675b20178fc5428625b3431
XKANG,Kang Clinic,24-3-02,Y,O,Remote,6675b20178fc5428625b3432
XHUKUNT,Hukuntsi Clinic,24-3-01,Y,O,Remote,6675b20178fc5428625b3433
XMAKEHP,Make Health Post,24-4-05,Y,O,Remote,6675b20178fc5428625b3434
XNCAAHP,Ncaang Health Post,24-4-01,Y,O,Remote,6675b20178fc5428625b3435
XINALEHP,Inalegolo Health Post,24-4-02,Y,O,Remote,6675b20178fc5428625b3436
XLEHUTHP,Lehututu Health Post,24-4-03,Y,O,Remote,6675b20178fc5428625b3437
XLOKGWHP,Lokgwabe Health Post,24-4-04,Y,O,Remote,6675b20178fc5428625b3438
XHUNHC,Hunhukwe Clinic,,Y,O,Remote,6675b20178fc5428625b3439
XMONOHP,Monong Health Post,24-4-06,Y,O,Remote,6675b20178fc5428625b343a
XTSHANEHP,Tshane Health Post,24-4-07,Y,O,Remote,6675b20178fc5428625b343b
XTSHAPHP,Tshane Prison Health Post,24-4,Y,O,Remote,6675b20178fc5428625b343c
XPHUDHP,Phuduhudu Health Post,24-4-08,Y,O,Remote,6675b20178fc5428625b343d
XUKHWHP,Ukhwi Health Post,24-4-09,Y,O,Remote,6675b20178fc5428625b343e
XHUKUHP,Hukuntsi West H Post,24-4-11,Y,O,Remote,6675b20178fc5428625b343f
XMOSELHP,Moselebe Health Post,24-4-,Y,O,Remote,6675b20178fc5428625b3440
XNGWATHP,Ngwatle Health Post,24-4-13,Y,O,Remote,6675b20178fc5428625b3441
XGOODPH,Goodhope Primary Hosp,23-2-01,Y,O,Remote,6675b20178fc5428625b3442
XDIGAWC,Digawana Clinic,23-3-01,Y,O,Remote,6675b20178fc5428625b3443
XKANGWHP,Kangwe H Post,,Y,O,Remote,6675b20178fc5428625b3444
XPHIMOL,Phitshane Molopo Clinic,23-3-6,Y,O,Remote,6675b20178fc5428625b3445
XPITSAN,Pitsane Clinic,23-3-07,Y,O,Remote,6675b20178fc5428625b3446
XMMATHE,Mmathethe Clinic,23-3-05,Y,O,Remote,6675b20178fc5428625b3447
XMABULE,Mabule Clinic,23-3-03,Y,O,Remote,6675b20178fc5428625b3448
XHEBRON,Hebron Clinic,23-3-02,Y,O,Remote,6675b20178fc5428625b3449
XMETLOC,Metlobo Clinic,23-3-04,Y,O,Remote,6675b20178fc5428625b344a
XGOODHP,Goodhope Clinic,,Y,O,Remote,6675b20178fc5428625b344b
XRAMAC,Ramatlabama Clinic,23-3-08,Y,O,Remote,6675b20178fc5428625b344c
XTSHIDIC,Tshidilamolomo Clinic,23-3-09,Y,O,Remote,6675b20178fc5428625b344d
XCWAANHP,Cwaanyaneng H Post,,Y,O,Remote,6675b20178fc5428625b344e
XDIKHUKHP,Dikhukhung H post,,Y,O,Remote,6675b20178fc5428625b344f
XDITLHHP,Ditlharapa Health Post,23-4-04,Y,O,Remote,6675b20178fc5428625b3450
XGATHWHP,Gathwane Health Post,23-4-05,Y,O,Remote,6675b20178fc5428625b3451
XLEPORHP,Leporung H post,,Y,O,Remote,6675b20178fc5428625b3452
XLOROLHP,Lorolwane H Post,,Y,O,Remote,6675b20178fc5428625b3453
XMMAKHP,Mmakgori Health Post,23-4-11,Y,O,Remote,6675b20178fc5428625b3454
XMOGOJHP,Mogojogojwe H Post,23-4-12,Y,O,Remote,6675b20178fc5428625b3455
XMOKATHP,Mokatako Health Post,,Y,O,Remote,6675b20178fc5428625b3456
XMOKGOMAHP,Mokgomane Health Post,23-4-14,Y,O,Remote,6675b20178fc5428625b3457
XKGOROHP,Kgoro H Post,,Y,O,Remote,6675b20178fc5428625b3458
XSHEEPHP,Sheepfarm H Post,,Y,O,Remote,6675b20178fc5428625b3459
XRAKHUHP,Rakhuna Health Post,23-4-17,Y,O,Remote,6675b20178fc5428625b345a
XRAKMILCC,Rakhuna Military Clinic,,Y,O,Remote,6675b20178fc5428625b345b
XPAPATHP,Papatlo H Post,,Y,O,Remote,6675b20178fc5428625b345c
XSEKHUHP,Sekhutlane Health Post,23-4-21,Y,O,Remote,6675b20178fc5428625b345d
XTLHARESHP,TLHARESELEELE H POST,,Y,O,Remote,6675b20178fc5428625b345e
XSEDIBHP,Sedibeng H Post,,Y,O,Remote,6675b20178fc5428625b345f
XPHIHEHP,Phihetswane H Post,,Y,O,Remote,6675b20178fc5428625b3460
XSEGWAHP,Segwagwa H Post,,Y,O,Remote,6675b20178fc5428625b3461
XGAMAJHP,Gamajaalela H Post,23-4-,Y,O,Remote,6675b20178fc5428625b3462
XMETLOHP,Metlojane H Post,23-4-26,Y,O,Remote,6675b20178fc5428625b3463
XTHAMPH,Thamaga Primary Hospital,5-2-1,Y,O,Remote,6675b20178fc5428625b3464
XMMANKC,Mmankgodi Clinic,05-3-10,Y,O,Remote,6675b20178fc5428625b3465
XTHAMAC,Thamaga Clinic,05-3-20,Y,O,Remote,6675b20178fc5428625b3466
XMANYAC,Manyana Clinic,06-03-05,Y,O,Remote,6675b20178fc5428625b3467
XGAKGHP,Gakgatla Health Post,05-4-02,Y,O,Remote,6675b20178fc5428625b3468
XKUBANHP,Kubung Health Post,05-4-07,Y,O,Remote,6675b20178fc5428625b3469
XKUMAKC,Kumakwane Health Post,05-4-08,Y,O,Remote,6675b20178fc5428625b346a
XPHUTIC,Phuting Health Post,05-4-13,Y,O,Remote,6675b20178fc5428625b346b
XRUNGHP,Rungwana Health Post,05-4-24,Y,O,Remote,6675b20178fc5428625b346c
XLOBATH,Lobatse Athlone Hosp,18-1-02,Y,O,Remote,6675b20178fc5428625b346d
XMENTAH,Mental Referal Hosp,18-1-02,Y,O,Remote,6675b20178fc5428625b346e
XTSOPEC,Tsopeng Clinic,18-3-07,Y,O,Remote,6675b20178fc5428625b346f
XPELCEC,Peleng Central Clinic,18-3-03,Y,O,Remote,6675b20178fc5428625b3470
XPELEAC,Peleng East Clinic,18-3-04,Y,O,Remote,6675b20178fc5428625b3471
XWOODHC,Woodhall Clinic,18-3-05,Y,O,Remote,6675b20178fc5428625b3472
XATHOLON,Athlone Hospital,,N,O,Remote,6675b20178fc5428625b3473
XMOLAPC,Molapowabojang Clinic,06-3-06,Y,O,Remote,6675b20178fc5428625b3474
XMOTSWC,Motswedi Clinic,13-3-08,Y,O,Remote,6675b20178fc5428625b3475
